MORIWAKI Instagram 日次チェック
2026-08-29 06:51:19

取得成功：13 / 20
比較基準：2026-08-28 の保存記録なし

店舗         スタッフ         Instagram                       投稿数        投稿前日比      フォロワー       フォロワー前日比
交野店        kuroki       kuro_rina                         -         算出不可          -           算出不可 ⚪
交野店        kurogi       oo_o___co_c                       -         算出不可          -           算出不可 ⚪
宮之阪店       myojin       myojin_moriwaki                 294         算出不可        531           算出不可 🟢
宮之阪店       uga          serika_hair                       0         算出不可          6           算出不可 🔴
宮之阪店       ueno         by.puiko                          4         算出不可         12           算出不可 🟡
宮之阪店       morimoto     kaz5_129                          -         算出不可          -           算出不可 ⚪
宮之阪店       yamakawa     u.ne.assistant                    -         算出不可          -           算出不可 ⚪
凪店         hatano       kento_hair                       28         算出不可        103           算出不可 🟢
凪店         moritani     mayumi.m                          -         算出不可          -           算出不可 ⚪
凪店         joyama       ayumi__ulf                        -         算出不可          -           算出不可 ⚪
東寝屋川店      yamamoto     kumi.yamamoto_                    0         算出不可          1           算出不可 🔴
東寝屋川店      maesawa      moriwaki34maesawa                 -         算出不可          -           算出不可 ⚪
藤が尾店       moriwaki     mokoko_0227                      42         算出不可        551           算出不可 🔴
藤が尾店       nishiguchi   yudai_nishiguchi                 52         算出不可        339           算出不可 🟡
藤が尾店       masaoka      eri_msok                         52         算出不可        225           算出不可 🟢
藤が尾店       nagashima    n_itta_22                        29         算出不可         81           算出不可 🟢
河内磐船店      taira        ta.i.ra0417_iwafune               3         算出不可         34           算出不可 🟢
河内磐船店      oka          yu_chan1992                       8         算出不可        313           算出不可 🟢
河内磐船店      yamade       iwafune_yamadeayumi               6         算出不可         75           算出不可 🟢
河内磐船店      ogawa        moko_ogawa1124                    9         算出不可        156           算出不可 🟢

前日比表記：増加=+N、変動なし=+0、減少=-N。前日または当日の取得不可は算出不可。
🟢 直近3日未満　🟡 3〜6日　🔴 7日以上　⚪ API取得不可
